lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.3303529,-35.5588857,Finniss, ;  Full Wheelchair Access,Parawa Recreation Centre,,0,1541 Range Rd PARAWA SA,,SA,Parawa,0,0,,,,,,,
140.7940513,-34.1833765,Chaffey, ;  Assisted Wheelchair Access,Paringa Murtho War Memorial Hall,,0,Sturt Hwy PARINGA SA,,SA,Paringa,0,0,,,,,,,
138.555297,-34.990607,Elder, ;  Full Wheelchair Access,Ascot Park Primary School,,0,1-37 Pildappa Ave PARK HOLME SA,,SA,Park Holme South,0,0,,,,,,,
138.619851,-34.944179,Unley,Gym;  Full Wheelchair Access,Parkside Primary School,,0,12 Robsart St PARKSIDE SA,,SA,Parkside,0,0,,,,,,,
138.672396,-34.873789,Morialta, ;  Full Wheelchair Access,Il Nido Children's Centre,,0,22 Campbell Road PARADISE SA,,SA,Paradise,0,0,,,,,,,
138.684909,-34.87067,Morialta,access by George and Harris Streets;  Full Wheelchair Access,Paradise Primary School,,0,100 George St PARADISE SA,,SA,Paradise East,0,0,,,,,,,
138.660516,-34.870808,Hartley,enter from either Lincoln Road or Pam Street.;  Full Wheelchair Access,Paradise Kindergarten,,0,21A Lincoln Rd PARADISE SA,,SA,Paradise West,0,0,,,,,,,
138.5944612,-34.7564969,Taylor, ;  No Wheelchair Access,Settlers Farm Campus,,0,23 Barassi St PARALOWIE SA,,SA,Paralowie West,0,0,,,,,,,
137.2640254,-35.7928778,Finniss, ;  Assisted Wheelchair Access,Soldier Settlement Museum,,0,Cnr Wedgewood Rd & Rowland Hill Hwy PARNDANA SA,,SA,Parndana,0,0,,,,,,,
138.587263,-34.9923126,Waite, ;  Assisted Wheelchair Access,Pasadena High School,,0,Daws Rd PASADENA SA,,SA,Pasadena,0,0,,,,,,,
138.6712568,-34.7587905,Little Para, ;  Assisted Wheelchair Access,Salisbury Park Primary School,,0,Wildwood Dr SALISBURY PARK SA,,SA,Salisbury Park,0,0,,,,,,,
138.5396081,-34.5925659,Goyder, ;  Full Wheelchair Access,Two Wells Primary School,,0,Gawler Rd TWO WELLS SA,,SA,Two Wells,0,0,,,,,,,
